work_year,job_title,job_category,salary_currency,salary,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd
2022,Business Intelligence Developer,BI and Visualization,USD,15000,Ghana,Mid-level,Full-time,Remote,Ghana,M,15000
2020,Staff Data Analyst,Data Analysis,USD,15000,Nigeria,Executive,Full-time,In-person,Canada,M,15000
2021,Machine Learning Developer,Machine Learning and AI,USD,15000,Thailand,Entry-level,Full-time,Remote,Thailand,L,15000
2022,Data Analyst,Data Analysis,USD,15000,Indonesia,Entry-level,Full-time,In-person,Indonesia,L,15000
2020,ML Engineer,Machine Learning and AI,EUR,14000,Germany,Entry-level,Part-time,Remote,Germany,S,15966
2023,Data Scientist,Data Science and Research,USD,16000,Ecuador,Entry-level,Full-time,Remote,Ecuador,L,16000
2022,Research Engineer,Data Science and Research,EUR,15662,Russia,Entry-level,Full-time,Remote,Russia,M,16455
2023,Business Data Analyst,Data Analysis,USD,17000,Armenia,Mid-level,Full-time,Remote,Russia,L,17000
2023,Data Engineer,Data Engineering,USD,18000,India,Entry-level,Full-time,Hybrid,India,M,18000
2021,Big Data Engineer,Data Engineering,USD,18000,Moldova,Mid-level,Full-time,In-person,Moldova,S,18000
2023,Data Analyst,Data Analysis,PLN,78000,Poland,Entry-level,Part-time,Remote,India,L,18160
2023,BI Analyst,BI and Visualization,TRY,360000,Turkey,Senior,Full-time,Remote,Turkey,L,18381
2021,Computer Vision Engineer,Machine Learning and AI,BRL,102000,Brazil,Senior,Full-time,In-person,Brazil,M,18907
2021,Computer Vision Software Engineer,Machine Learning and AI,DKK,120000,Denmark,Entry-level,Part-time,Hybrid,Denmark,L,19073
2023,Data Scientist,Data Science and Research,EUR,18000,Greece,Entry-level,Full-time,Remote,Greece,L,19434
2023,Data Scientist,Data Science and Research,BRL,101400,Brazil,Entry-level,Full-time,Remote,Brazil,L,19910
2023,AI Scientist,Machine Learning and AI,USD,20000,Turkey,Entry-level,Full-time,Remote,Turkey,S,20000
2023,Applied Scientist,Data Science and Research,USD,20000,Nigeria,Mid-level,Full-time,Remote,United States,L,20000
2022,Data Analyst,Data Analysis,USD,20000,Costa Rica,Entry-level,Full-time,Hybrid,United States,M,20000
2021,Machine Learning Research Engineer,Data Science and Research,USD,20000,France,Entry-level,Full-time,Hybrid,France,M,20000
2022,Data Analyst,Data Analysis,USD,20000,Greece,Mid-level,Full-time,Remote,Greece,S,20000
